epoch,step,train/loss_box_reg_epoch,train/loss_box_reg_step,train/loss_classifier_epoch,train/loss_classifier_step,train/loss_mask_epoch,train/loss_mask_step,train/loss_objectness_epoch,train/loss_objectness_step,train/loss_rpn_box_reg_epoch,train/loss_rpn_box_reg_step,train/total_loss_epoch,train/total_loss_step
0,0,,0.06786921620368958,,0.6927834153175354,,0.32934755086898804,,0.009652726352214813,,0.21842089295387268,,1.3180737495422363
0,0,0.06786921620368958,,0.6927834153175354,,0.32934755086898804,,0.009652726352214813,,0.21842089295387268,,1.3180737495422363,
1,1,,0.0850503146648407,,0.6921327710151672,,1.6574515104293823,,0.009180121123790741,,0.023686988279223442,,2.467501640319824
1,1,0.0850503146648407,,0.6921327710151672,,1.6574515104293823,,0.009180121123790741,,0.023686988279223442,,2.467501640319824,
2,2,,0.07012853771448135,,0.6927557587623596,,0.2517966628074646,,0.009080827236175537,,0.18075691163539886,,1.2045187950134277
2,2,0.07012853771448135,,0.6927557587623596,,0.2517966628074646,,0.009080827236175537,,0.18075691163539886,,1.2045187950134277,
3,3,,0.08007518947124481,,0.6930772662162781,,0.17358775436878204,,0.009078524075448513,,0.21006043255329132,,1.1658791303634644
3,3,0.08007518947124481,,0.6930772662162781,,0.17358775436878204,,0.009078524075448513,,0.21006043255329132,,1.1658791303634644,
4,4,,0.06611137837171555,,0.6932070851325989,,0.5455265641212463,,0.009437017142772675,,0.132135272026062,,1.4464173316955566
4,4,0.06611137837171555,,0.6932070851325989,,0.5455265641212463,,0.009437017142772675,,0.132135272026062,,1.4464173316955566,
5,5,,0.07919454574584961,,0.6926793456077576,,0.2584351897239685,,0.009264936670660973,,0.0698046088218689,,1.1093785762786865
5,5,0.07919454574584961,,0.6926793456077576,,0.2584351897239685,,0.009264936670660973,,0.0698046088218689,,1.1093785762786865,
6,6,,0.09544678032398224,,0.6933171153068542,,0.3471059799194336,,0.009546319954097271,,0.11219392716884613,,1.2576100826263428
6,6,0.09544678032398224,,0.6933171153068542,,0.3471059799194336,,0.009546319954097271,,0.11219392716884613,,1.2576100826263428,
7,7,,0.09426093846559525,,0.692232608795166,,0.15154501795768738,,0.009169403463602066,,0.23873648047447205,,1.1859444379806519
7,7,0.09426093846559525,,0.692232608795166,,0.15154501795768738,,0.009169403463602066,,0.23873648047447205,,1.1859444379806519,
8,8,,0.08119577914476395,,0.6930270195007324,,0.22511473298072815,,0.009188986383378506,,0.1533244252204895,,1.161850929260254
8,8,0.08119577914476395,,0.6930270195007324,,0.22511473298072815,,0.009188986383378506,,0.1533244252204895,,1.161850929260254,
9,9,,0.0744251012802124,,0.6928242444992065,,0.19820044934749603,,0.009514560922980309,,0.2251797467470169,,1.2001440525054932
9,9,0.0744251012802124,,0.6928242444992065,,0.19820044934749603,,0.009514560922980309,,0.2251797467470169,,1.2001440525054932,
10,10,,0.0861385315656662,,0.6932655572891235,,0.21520039439201355,,0.009460445493459702,,0.12154868245124817,,1.1256135702133179
10,10,0.0861385315656662,,0.6932655572891235,,0.21520039439201355,,0.009460445493459702,,0.12154868245124817,,1.1256135702133179,
