epoch,step,train_loss_epoch,train_loss_step
0,0,,0.5295025706291199
0,0,0.5295025706291199,
1,1,,0.34386521577835083
1,1,0.34386521577835083,
2,2,,0.31996390223503113
2,2,0.31996390223503113,
3,3,,0.29224371910095215
3,3,0.29224371910095215,
4,4,,0.25154125690460205
4,4,0.25154125690460205,
5,5,,0.24809829890727997
5,5,0.24809829890727997,
6,6,,0.20297984778881073
6,6,0.20297984778881073,
7,7,,0.1944117695093155
7,7,0.1944117695093155,
8,8,,0.18086712062358856
8,8,0.18086712062358856,
9,9,,0.1542685329914093
9,9,0.1542685329914093,
10,10,,0.14649496972560883
10,10,0.14649496972560883,
11,11,,0.14577867090702057
11,11,0.14577867090702057,
12,12,,0.12090171128511429
12,12,0.12090171128511429,
13,13,,0.12171795964241028
13,13,0.12171795964241028,
14,14,,0.12106619030237198
14,14,0.12106619030237198,
15,15,,0.10165557265281677
15,15,0.10165557265281677,
16,16,,0.10223421454429626
16,16,0.10223421454429626,
17,17,,0.0982946828007698
17,17,0.0982946828007698,
18,18,,0.08971888571977615
18,18,0.08971888571977615,
19,19,,0.09622529149055481
19,19,0.09622529149055481,
20,20,,0.08652147650718689
20,20,0.08652147650718689,
21,21,,0.08231496065855026
21,21,0.08231496065855026,
22,22,,0.07487763464450836
22,22,0.07487763464450836,
23,23,,0.08035378903150558
23,23,0.08035378903150558,
24,24,,0.08719440549612045
24,24,0.08719440549612045,
25,25,,0.06945059448480606
25,25,0.06945059448480606,
26,26,,0.06851070374250412
26,26,0.06851070374250412,
27,27,,0.07259312272071838
27,27,0.07259312272071838,
28,28,,0.06858263164758682
28,28,0.06858263164758682,
29,29,,0.07035297900438309
29,29,0.07035297900438309,
30,30,,0.06413764506578445
30,30,0.06413764506578445,
31,31,,0.06236987188458443
31,31,0.06236987188458443,
32,32,,0.05881908908486366
32,32,0.05881908908486366,
33,33,,0.06185130774974823
33,33,0.06185130774974823,
34,34,,0.057876937091350555
34,34,0.057876937091350555,
35,35,,0.059207163751125336
35,35,0.059207163751125336,
36,36,,0.0645257905125618
36,36,0.0645257905125618,
37,37,,0.05586820840835571
37,37,0.05586820840835571,
38,38,,0.051798976957798004
38,38,0.051798976957798004,
39,39,,0.05623690038919449
39,39,0.05623690038919449,
40,40,,0.058255020529031754
40,40,0.058255020529031754,
41,41,,0.05094322934746742
41,41,0.05094322934746742,
42,42,,0.05093420669436455
42,42,0.05093420669436455,
43,43,,0.05163845792412758
43,43,0.05163845792412758,
44,44,,0.04920097813010216
44,44,0.04920097813010216,
45,45,,0.050986673682928085
45,45,0.050986673682928085,
46,46,,0.04932956397533417
46,46,0.04932956397533417,
47,47,,0.05143095925450325
47,47,0.05143095925450325,
48,48,,0.04781993478536606
48,48,0.04781993478536606,
49,49,,0.05744704604148865
49,49,0.05744704604148865,
50,50,,0.04695602506399155
50,50,0.04695602506399155,
51,51,,0.04611172899603844
51,51,0.04611172899603844,
52,52,,0.04562155529856682
52,52,0.04562155529856682,
53,53,,0.04689936712384224
53,53,0.04689936712384224,
54,54,,0.04896149784326553
54,54,0.04896149784326553,
55,55,,0.05035169795155525
55,55,0.05035169795155525,
56,56,,0.04913339763879776
56,56,0.04913339763879776,
57,57,,0.04445941001176834
57,57,0.04445941001176834,
58,58,,0.043610766530036926
58,58,0.043610766530036926,
59,59,,0.04293026775121689
59,59,0.04293026775121689,
60,60,,0.04443398118019104
60,60,0.04443398118019104,
61,61,,0.041557978838682175
61,61,0.041557978838682175,
62,62,,0.042693838477134705
62,62,0.042693838477134705,
63,63,,0.0434798039495945
63,63,0.0434798039495945,
64,64,,0.04106929525732994
64,64,0.04106929525732994,
65,65,,0.04069702327251434
65,65,0.04069702327251434,
66,66,,0.03918386623263359
66,66,0.03918386623263359,
67,67,,0.0396893173456192
67,67,0.0396893173456192,
68,68,,0.039133574813604355
68,68,0.039133574813604355,
69,69,,0.038185965269804
69,69,0.038185965269804,
70,70,,0.04088674113154411
70,70,0.04088674113154411,
71,71,,0.038421694189310074
71,71,0.038421694189310074,
72,72,,0.03782769665122032
72,72,0.03782769665122032,
73,73,,0.038016799837350845
73,73,0.038016799837350845,
74,74,,0.037403594702482224
74,74,0.037403594702482224,
75,75,,0.03733333200216293
75,75,0.03733333200216293,
76,76,,0.036537207663059235
76,76,0.036537207663059235,
77,77,,0.036041032522916794
77,77,0.036041032522916794,
78,78,,0.036413758993148804
78,78,0.036413758993148804,
79,79,,0.03813957795500755
79,79,0.03813957795500755,
80,80,,0.03569839894771576
80,80,0.03569839894771576,
81,81,,0.037132132798433304
81,81,0.037132132798433304,
82,82,,0.03395714610815048
82,82,0.03395714610815048,
83,83,,0.03500879555940628
83,83,0.03500879555940628,
84,84,,0.03780871629714966
84,84,0.03780871629714966,
85,85,,0.03581447899341583
85,85,0.03581447899341583,
86,86,,0.03379478305578232
86,86,0.03379478305578232,
87,87,,0.03706139326095581
87,87,0.03706139326095581,
88,88,,0.03568686917424202
88,88,0.03568686917424202,
89,89,,0.034818217158317566
89,89,0.034818217158317566,
90,90,,0.03608732670545578
90,90,0.03608732670545578,
91,91,,0.03421283885836601
91,91,0.03421283885836601,
92,92,,0.03630860149860382
92,92,0.03630860149860382,
93,93,,0.03442304581403732
93,93,0.03442304581403732,
94,94,,0.034169718623161316
94,94,0.034169718623161316,
95,95,,0.0362715981900692
95,95,0.0362715981900692,
96,96,,0.034157104790210724
96,96,0.034157104790210724,
