epoch,step,train_loss_epoch,train_loss_step
0,0,,0.6072792410850525
0,0,0.6072792410850525,
1,1,,0.5388955473899841
1,1,0.5388955473899841,
2,2,,0.509254515171051
2,2,0.509254515171051,
3,3,,0.45221948623657227
3,3,0.45221948623657227,
4,4,,0.41286760568618774
4,4,0.41286760568618774,
5,5,,0.40200769901275635
5,5,0.40200769901275635,
6,6,,0.4108763635158539
6,6,0.4108763635158539,
7,7,,0.3522036075592041
7,7,0.3522036075592041,
8,8,,0.32381367683410645
8,8,0.32381367683410645,
9,9,,0.29959020018577576
9,9,0.29959020018577576,
10,10,,0.29690346121788025
10,10,0.29690346121788025,
11,11,,0.275234192609787
11,11,0.275234192609787,
12,12,,0.2662453055381775
12,12,0.2662453055381775,
13,13,,0.24736428260803223
13,13,0.24736428260803223,
14,14,,0.24088448286056519
14,14,0.24088448286056519,
15,15,,0.24971294403076172
15,15,0.24971294403076172,
16,16,,0.2351493090391159
16,16,0.2351493090391159,
17,17,,0.22083693742752075
17,17,0.22083693742752075,
18,18,,0.21497245132923126
18,18,0.21497245132923126,
19,19,,0.19566470384597778
19,19,0.19566470384597778,
20,20,,0.20757295191287994
20,20,0.20757295191287994,
21,21,,0.188285693526268
21,21,0.188285693526268,
22,22,,0.20036360621452332
22,22,0.20036360621452332,
23,23,,0.1794949620962143
23,23,0.1794949620962143,
24,24,,0.19788722693920135
24,24,0.19788722693920135,
25,25,,0.17598648369312286
25,25,0.17598648369312286,
26,26,,0.1699170023202896
26,26,0.1699170023202896,
27,27,,0.16949626803398132
27,27,0.16949626803398132,
28,28,,0.1688990741968155
28,28,0.1688990741968155,
29,29,,0.15591385960578918
29,29,0.15591385960578918,
30,30,,0.15469835698604584
30,30,0.15469835698604584,
31,31,,0.15125854313373566
31,31,0.15125854313373566,
32,32,,0.1488199084997177
32,32,0.1488199084997177,
33,33,,0.14656656980514526
33,33,0.14656656980514526,
34,34,,0.14725938439369202
34,34,0.14725938439369202,
35,35,,0.14224670827388763
35,35,0.14224670827388763,
36,36,,0.14037175476551056
36,36,0.14037175476551056,
37,37,,0.1395350992679596
37,37,0.1395350992679596,
38,38,,0.13360802829265594
38,38,0.13360802829265594,
39,39,,0.13115909695625305
39,39,0.13115909695625305,
40,40,,0.12835022807121277
40,40,0.12835022807121277,
41,41,,0.12681427597999573
41,41,0.12681427597999573,
42,42,,0.1287010759115219
42,42,0.1287010759115219,
43,43,,0.13161835074424744
43,43,0.13161835074424744,
44,44,,0.12796126306056976
44,44,0.12796126306056976,
45,45,,0.1217428520321846
45,45,0.1217428520321846,
46,46,,0.12090838700532913
46,46,0.12090838700532913,
47,47,,0.12326886504888535
47,47,0.12326886504888535,
48,48,,0.12235189229249954
48,48,0.12235189229249954,
49,49,,0.11783135682344437
49,49,0.11783135682344437,
50,50,,0.11757994443178177
50,50,0.11757994443178177,
51,51,,0.11691440641880035
51,51,0.11691440641880035,
52,52,,0.11520354449748993
52,52,0.11520354449748993,
53,53,,0.11934375762939453
53,53,0.11934375762939453,
54,54,,0.11015043407678604
54,54,0.11015043407678604,
55,55,,0.11221358925104141
55,55,0.11221358925104141,
56,56,,0.11152546852827072
56,56,0.11152546852827072,
57,57,,0.11149241030216217
57,57,0.11149241030216217,
58,58,,0.10903070122003555
58,58,0.10903070122003555,
59,59,,0.11338064819574356
59,59,0.11338064819574356,
60,60,,0.10876653343439102
60,60,0.10876653343439102,
61,61,,0.1080554872751236
61,61,0.1080554872751236,
62,62,,0.10703309625387192
62,62,0.10703309625387192,
63,63,,0.10656092315912247
63,63,0.10656092315912247,
64,64,,0.10445541888475418
64,64,0.10445541888475418,
65,65,,0.10569080710411072
65,65,0.10569080710411072,
66,66,,0.10362233221530914
66,66,0.10362233221530914,
67,67,,0.10201286524534225
67,67,0.10201286524534225,
68,68,,0.10494548082351685
68,68,0.10494548082351685,
69,69,,0.10266537219285965
69,69,0.10266537219285965,
70,70,,0.09955133497714996
70,70,0.09955133497714996,
71,71,,0.10042590647935867
71,71,0.10042590647935867,
72,72,,0.097939133644104
72,72,0.097939133644104,
73,73,,0.09792991727590561
73,73,0.09792991727590561,
74,74,,0.09752136468887329
74,74,0.09752136468887329,
75,75,,0.09614478051662445
75,75,0.09614478051662445,
76,76,,0.09502284228801727
76,76,0.09502284228801727,
77,77,,0.09548938274383545
77,77,0.09548938274383545,
78,78,,0.09487958997488022
78,78,0.09487958997488022,
