epoch,has objects,step,train/loss_box_reg_epoch,train/loss_box_reg_step,train/loss_classifier_epoch,train/loss_classifier_step,train/loss_mask_epoch,train/loss_mask_step,train/loss_objectness_epoch,train/loss_objectness_step,train/loss_rpn_box_reg_epoch,train/loss_rpn_box_reg_step,train/total_loss_epoch,train/total_loss_step
0,1.0,0,,0.09726691991090775,,0.6930714249610901,,5.18522310256958,,0.6985844373703003,,0.2655215859413147,,6.939667701721191
0,,0,0.09726691991090775,,0.6930714249610901,,5.18522310256958,,0.6985844373703003,,0.2655215859413147,,6.939667701721191,
1,1.0,1,,0.05506856366991997,,0.6930254101753235,,6.255134105682373,,0.6952598094940186,,0.060369402170181274,,7.758857250213623
1,,1,0.05506856366991997,,0.6930254101753235,,6.255134105682373,,0.6952598094940186,,0.060369402170181274,,7.758857250213623,
2,1.0,2,,0.11066510528326035,,0.6929177045822144,,5.994986057281494,,0.6965123414993286,,0.6231966018676758,,8.118277549743652
2,,2,0.11066510528326035,,0.6929177045822144,,5.994986057281494,,0.6965123414993286,,0.6231966018676758,,8.118277549743652,
3,1.0,3,,0.0,,0.6930993795394897,,0.0,,0.6961466073989868,,1.4404561519622803,,2.829702377319336
3,,3,0.0,,0.6930993795394897,,0.0,,0.6961466073989868,,1.4404561519622803,,2.829702377319336,
4,1.0,4,,0.0,,0.6930218935012817,,0.0,,0.6965004205703735,,0.9233741760253906,,2.312896490097046
4,,4,0.0,,0.6930218935012817,,0.0,,0.6965004205703735,,0.9233741760253906,,2.312896490097046,
5,1.0,5,,0.00959055870771408,,0.6926429867744446,,5.528702735900879,,0.7040991187095642,,1.0313282012939453,,7.966363906860352
5,,5,0.00959055870771408,,0.6926429867744446,,5.528702735900879,,0.7040991187095642,,1.0313282012939453,,7.966363906860352,
6,1.0,6,,0.09477316588163376,,0.6926444172859192,,5.046951770782471,,0.7025420665740967,,1.0187795162200928,,7.555690765380859
6,,6,0.09477316588163376,,0.6926444172859192,,5.046951770782471,,0.7025420665740967,,1.0187795162200928,,7.555690765380859,
7,1.0,7,,0.060121845453977585,,0.6926805377006531,,4.2723822593688965,,0.6989035606384277,,4.223588943481445,,9.947677612304688
7,,7,0.060121845453977585,,0.6926805377006531,,4.2723822593688965,,0.6989035606384277,,4.223588943481445,,9.947677612304688,
8,1.0,8,,0.1354469656944275,,0.6927622556686401,,3.8410961627960205,,0.7011317014694214,,1.5119915008544922,,6.882429122924805
8,,8,0.1354469656944275,,0.6927622556686401,,3.8410961627960205,,0.7011317014694214,,1.5119915008544922,,6.882429122924805,
9,1.0,9,,0.0997769758105278,,0.6925989389419556,,3.762019395828247,,0.7020474672317505,,1.584841251373291,,6.841283798217773
9,,9,0.0997769758105278,,0.6925989389419556,,3.762019395828247,,0.7020474672317505,,1.584841251373291,,6.841283798217773,
10,1.0,10,,0.1241786852478981,,0.692855954170227,,3.6638169288635254,,0.7037169933319092,,1.3939876556396484,,6.578556060791016
10,,10,0.1241786852478981,,0.692855954170227,,3.6638169288635254,,0.7037169933319092,,1.3939876556396484,,6.578556060791016,
11,1.0,11,,0.09093157947063446,,0.6928653120994568,,3.2885074615478516,,0.694336473941803,,1.992943286895752,,6.759584426879883
11,,11,0.09093157947063446,,0.6928653120994568,,3.2885074615478516,,0.694336473941803,,1.992943286895752,,6.759584426879883,
12,1.0,12,,0.12930627167224884,,0.692840576171875,,3.4370222091674805,,0.6931326389312744,,2.263218641281128,,7.21552038192749
12,,12,0.12930627167224884,,0.692840576171875,,3.4370222091674805,,0.6931326389312744,,2.263218641281128,,7.21552038192749,
13,1.0,13,,0.144975945353508,,0.6924734711647034,,3.2575063705444336,,0.690986156463623,,0.5581132173538208,,5.34405517578125
13,,13,0.144975945353508,,0.6924734711647034,,3.2575063705444336,,0.690986156463623,,0.5581132173538208,,5.34405517578125,
14,1.0,14,,0.1148071363568306,,0.6927196979522705,,2.9111316204071045,,0.7026576399803162,,0.4084743559360504,,4.8297905921936035
14,,14,0.1148071363568306,,0.6927196979522705,,2.9111316204071045,,0.7026576399803162,,0.4084743559360504,,4.8297905921936035,
15,1.0,15,,0.08086803555488586,,0.6926819086074829,,3.1012282371520996,,0.6959031820297241,,1.0424857139587402,,5.613166809082031
15,,15,0.08086803555488586,,0.6926819086074829,,3.1012282371520996,,0.6959031820297241,,1.0424857139587402,,5.613166809082031,
16,1.0,16,,0.0,,0.6927816271781921,,0.0,,0.6964728832244873,,0.5724360942840576,,1.9616906642913818
16,,16,0.0,,0.6927816271781921,,0.0,,0.6964728832244873,,0.5724360942840576,,1.9616906642913818,
17,1.0,17,,0.1138114184141159,,0.69270259141922,,2.517465591430664,,0.7048177719116211,,1.2815825939178467,,5.310379981994629
17,,17,0.1138114184141159,,0.69270259141922,,2.517465591430664,,0.7048177719116211,,1.2815825939178467,,5.310379981994629,
18,1.0,18,,0.01863785833120346,,0.6926981806755066,,3.1054437160491943,,0.6973188519477844,,1.2682945728302002,,5.782393455505371
18,,18,0.01863785833120346,,0.6926981806755066,,3.1054437160491943,,0.6973188519477844,,1.2682945728302002,,5.782393455505371,
