epoch,step,train/loss_box_reg_epoch,train/loss_box_reg_step,train/loss_classifier_epoch,train/loss_classifier_step,train/loss_mask_epoch,train/loss_mask_step,train/loss_objectness_epoch,train/loss_objectness_step,train/loss_rpn_box_reg_epoch,train/loss_rpn_box_reg_step,train/total_loss_epoch,train/total_loss_step
0,0,,0.0,,0.43567654490470886,,,,0.02157841995358467,,0.05544445663690567,,0.5126994252204895
0,0,0.0,,0.43567654490470886,,,,0.02157841995358467,,0.05544445663690567,,0.5126994252204895,
1,1,,0.0,,0.39920279383659363,,,,0.010435963049530983,,0.13993331789970398,,0.5495721101760864
1,1,0.0,,0.39920279383659363,,,,0.010435963049530983,,0.13993331789970398,,0.5495721101760864,
2,2,,0.0,,0.4137800633907318,,,,0.01075361855328083,,0.07499973475933075,,0.49953341484069824
2,2,0.0,,0.4137800633907318,,,,0.01075361855328083,,0.07499973475933075,,0.49953341484069824,
3,3,,0.0,,0.0,,0.0,,0.010427605360746384,,0.11948609352111816,,0.12991370260715485
3,3,0.0,,0.0,,0.0,,0.010427605360746384,,0.11948609352111816,,0.12991370260715485,
4,4,,0.0,,0.3854157030582428,,,,0.010564133524894714,,0.049253083765506744,,0.44523292779922485
4,4,0.0,,0.3854157030582428,,,,0.010564133524894714,,0.049253083765506744,,0.44523292779922485,
5,5,,0.0,,0.3416368365287781,,,,0.010253485292196274,,0.17899031937122345,,0.5308806300163269
5,5,0.0,,0.3416368365287781,,,,0.010253485292196274,,0.17899031937122345,,0.5308806300163269,
6,6,,0.0,,0.0,,0.0,,0.01065371185541153,,0.4386882185935974,,0.44934192299842834
6,6,0.0,,0.0,,0.0,,0.01065371185541153,,0.4386882185935974,,0.44934192299842834,
7,7,,0.0,,0.0,,0.0,,0.010791461914777756,,0.0861312597990036,,0.09692272543907166
7,7,0.0,,0.0,,0.0,,0.010791461914777756,,0.0861312597990036,,0.09692272543907166,
8,8,,0.0,,0.34329694509506226,,,,0.010393201373517513,,0.12215729802846909,,0.47584742307662964
8,8,0.0,,0.34329694509506226,,,,0.010393201373517513,,0.12215729802846909,,0.47584742307662964,
9,9,,0.0,,0.3549033999443054,,,,0.010410713031888008,,0.07344309985637665,,0.4387572109699249
9,9,0.0,,0.3549033999443054,,,,0.010410713031888008,,0.07344309985637665,,0.4387572109699249,
10,10,,0.0,,0.0,,0.0,,0.010315271094441414,,0.1283414512872696,,0.13865672051906586
10,10,0.0,,0.0,,0.0,,0.010315271094441414,,0.1283414512872696,,0.13865672051906586,
11,11,,0.0,,0.3186292350292206,,,,0.010238280519843102,,0.22339823842048645,,0.5522657632827759
11,11,0.0,,0.3186292350292206,,,,0.010238280519843102,,0.22339823842048645,,0.5522657632827759,
12,12,,0.0,,0.34101244807243347,,,,0.010635051876306534,,0.011776281520724297,,0.36342379450798035
12,12,0.0,,0.34101244807243347,,,,0.010635051876306534,,0.011776281520724297,,0.36342379450798035,
13,13,,0.0,,0.3901289701461792,,,,0.010266385972499847,,0.2528366446495056,,0.6532319784164429
13,13,0.0,,0.3901289701461792,,,,0.010266385972499847,,0.2528366446495056,,0.6532319784164429,
14,14,,0.0,,0.3020753264427185,,,,0.01041574589908123,,0.10316784679889679,,0.4156589210033417
14,14,0.0,,0.3020753264427185,,,,0.01041574589908123,,0.10316784679889679,,0.4156589210033417,
15,15,,0.0,,0.31762179732322693,,,,0.010227750055491924,,0.5506954193115234,,0.8785449266433716
15,15,0.0,,0.31762179732322693,,,,0.010227750055491924,,0.5506954193115234,,0.8785449266433716,
16,16,,0.0,,0.3031350076198578,,,,0.010399976745247841,,0.23468661308288574,,0.5482215881347656
16,16,0.0,,0.3031350076198578,,,,0.010399976745247841,,0.23468661308288574,,0.5482215881347656,
17,17,,0.0,,0.0,,0.0,,0.010527679696679115,,0.1652456521987915,,0.17577333748340607
17,17,0.0,,0.0,,0.0,,0.010527679696679115,,0.1652456521987915,,0.17577333748340607,
18,18,,0.0,,0.2932356595993042,,,,0.01046939566731453,,0.4007965922355652,,0.7045016288757324
18,18,0.0,,0.2932356595993042,,,,0.01046939566731453,,0.4007965922355652,,0.7045016288757324,
19,19,,0.0,,0.3062590956687927,,,,0.010246211662888527,,0.12349126487970352,,0.4399965703487396
19,19,0.0,,0.3062590956687927,,,,0.010246211662888527,,0.12349126487970352,,0.4399965703487396,
20,20,,0.0,,0.3211655616760254,,,,0.010569071397185326,,0.0193428173661232,,0.35107743740081787
20,20,0.0,,0.3211655616760254,,,,0.010569071397185326,,0.0193428173661232,,0.35107743740081787,
21,21,,0.0,,0.0,,0.0,,0.010288992896676064,,0.18204659223556519,,0.1923355907201767
21,21,0.0,,0.0,,0.0,,0.010288992896676064,,0.18204659223556519,,0.1923355907201767,
22,22,,0.0,,0.33599579334259033,,,,0.010710541158914566,,0.21974509954452515,,0.5664514303207397
22,22,0.0,,0.33599579334259033,,,,0.010710541158914566,,0.21974509954452515,,0.5664514303207397,
23,23,,0.0,,0.34482476115226746,,,,0.010467296466231346,,0.051912710070610046,,0.4072047770023346
23,23,0.0,,0.34482476115226746,,,,0.010467296466231346,,0.051912710070610046,,0.4072047770023346,
24,24,,0.0,,0.0,,0.0,,0.010366648435592651,,0.11338549852371216,,0.12375214695930481
24,24,0.0,,0.0,,0.0,,0.010366648435592651,,0.11338549852371216,,0.12375214695930481,
