epoch,step,train_box_loss_epoch,train_box_loss_step,train_center_loss_epoch,train_center_loss_step,train_instance_cls_loss_epoch,train_instance_cls_loss_step,train_mask_loss_epoch,train_mask_loss_step,train_semantic_loss_epoch,train_semantic_loss_step,train_total_loss_epoch,train_total_loss_step
0,0,,1.0,,0.6057262420654297,,0.6948136687278748,,0.0,,0.9937800765037537,,1.2238341569900513
0,0,1.0,,0.6057262420654297,,0.6948136687278748,,0.0,,0.9937800765037537,,1.2238341569900513,
1,1,,1.0,,0.5915659666061401,,0.6951722502708435,,0.0,,1.0521546602249146,,1.2808284759521484
1,1,1.0,,0.5915659666061401,,0.6951722502708435,,0.0,,1.0521546602249146,,1.2808284759521484,
2,2,,1.0,,0.5854043364524841,,0.6939016580581665,,0.0,,0.8721640706062317,,1.1000946760177612
2,2,1.0,,0.5854043364524841,,0.6939016580581665,,0.0,,0.8721640706062317,,1.1000946760177612,
3,3,,1.0,,0.5810176730155945,,0.6920335292816162,,0.0,,0.7600918412208557,,0.9873970150947571
3,3,1.0,,0.5810176730155945,,0.6920335292816162,,0.0,,0.7600918412208557,,0.9873970150947571,
4,4,,1.0,,0.5776709914207458,,0.6928375959396362,,0.0,,0.6494016647338867,,0.8764525651931763
4,4,1.0,,0.5776709914207458,,0.6928375959396362,,0.0,,0.6494016647338867,,0.8764525651931763,
5,5,,1.0,,0.574135422706604,,0.6940417885780334,,0.0,,0.8381556272506714,,1.0649733543395996
5,5,1.0,,0.574135422706604,,0.6940417885780334,,0.0,,0.8381556272506714,,1.0649733543395996,
6,6,,1.0,,0.565750241279602,,0.6923604011535645,,0.0,,0.6203018426895142,,0.8461129069328308
6,6,1.0,,0.565750241279602,,0.6923604011535645,,0.0,,0.6203018426895142,,0.8461129069328308,
7,7,,1.0,,0.5623510479927063,,0.6916896104812622,,0.0,,0.4819788634777069,,0.7073829770088196
7,7,1.0,,0.5623510479927063,,0.6916896104812622,,0.0,,0.4819788634777069,,0.7073829770088196,
8,8,,1.0,,0.5557503700256348,,0.6938337087631226,,0.0,,0.6973551511764526,,0.9223135709762573
8,8,1.0,,0.5557503700256348,,0.6938337087631226,,0.0,,0.6973551511764526,,0.9223135709762573,
9,9,,1.0,,0.5482462644577026,,0.693917453289032,,0.0,,0.8386110067367554,,1.062827467918396
9,9,1.0,,0.5482462644577026,,0.693917453289032,,0.0,,0.8386110067367554,,1.062827467918396,
