epoch,step,train/loss_box_reg_epoch,train/loss_box_reg_step,train/loss_classifier_epoch,train/loss_classifier_step,train/loss_mask_epoch,train/loss_mask_step,train/loss_objectness_epoch,train/loss_objectness_step,train/loss_rpn_box_reg_epoch,train/loss_rpn_box_reg_step,train/total_loss_epoch,train/total_loss_step
0,0,,-0.0,,0.6848969459533691,,-0.0,,0.7017980813980103,,0.0,,1.3866950273513794
0,0,0.0,,0.6848969459533691,,0.0,,0.7017980813980103,,0.0,,1.3866950273513794,
1,1,,-0.0,,0.6848306655883789,,-0.0,,0.6996964812278748,,0.0,,1.3845272064208984
1,1,0.0,,0.6848306655883789,,0.0,,0.6996964812278748,,0.0,,1.3845272064208984,
2,2,,-0.0,,0.6847018003463745,,-0.0,,0.7020965814590454,,0.0,,1.38679838180542
2,2,0.0,,0.6847018003463745,,0.0,,0.7020965814590454,,0.0,,1.38679838180542,
3,3,,-0.0,,0.6845186948776245,,-0.0,,0.7037464380264282,,0.0,,1.3882651329040527
3,3,0.0,,0.6845186948776245,,0.0,,0.7037464380264282,,0.0,,1.3882651329040527,
4,4,,-0.0,,0.6842857003211975,,-0.0,,0.6915342211723328,,0.0,,1.3758199214935303
4,4,0.0,,0.6842857003211975,,0.0,,0.6915342211723328,,0.0,,1.3758199214935303,
5,5,,-0.0,,0.6840060949325562,,-0.0,,0.7013376355171204,,0.0,,1.3853437900543213
5,5,0.0,,0.6840060949325562,,0.0,,0.7013376355171204,,0.0,,1.3853437900543213,
6,6,,-0.0,,0.6836879849433899,,-0.0,,0.7014303207397461,,0.0,,1.3851182460784912
6,6,0.0,,0.6836879849433899,,0.0,,0.7014303207397461,,0.0,,1.3851182460784912,
7,7,,-0.0,,0.6833329796791077,,-0.0,,0.6871739625930786,,0.0,,1.370507001876831
7,7,0.0,,0.6833329796791077,,0.0,,0.6871739625930786,,0.0,,1.370507001876831,
8,8,,-0.0,,0.6829543113708496,,-0.0,,0.7008196115493774,,0.0,,1.383773922920227
8,8,0.0,,0.6829543113708496,,0.0,,0.7008196115493774,,0.0,,1.383773922920227,
9,9,,-0.0,,0.6829072833061218,,-0.0,,0.6971601247787476,,0.0,,1.3800673484802246
9,9,0.0,,0.6829072833061218,,0.0,,0.6971601247787476,,0.0,,1.3800673484802246,
10,10,,-0.0,,0.6828657984733582,,-0.0,,0.7024752497673035,,0.0,,1.3853410482406616
10,10,0.0,,0.6828657984733582,,0.0,,0.7024752497673035,,0.0,,1.3853410482406616,
11,11,,-0.0,,0.6828213334083557,,-0.0,,0.6904204487800598,,0.0,,1.3732417821884155
11,11,0.0,,0.6828213334083557,,0.0,,0.6904204487800598,,0.0,,1.3732417821884155,
12,12,,-0.0,,0.6827731728553772,,-0.0,,0.698607325553894,,0.0,,1.381380558013916
12,12,0.0,,0.6827731728553772,,0.0,,0.698607325553894,,0.0,,1.381380558013916,
13,13,,-0.0,,0.6827207207679749,,-0.0,,0.694278359413147,,0.0,,1.3769991397857666
13,13,0.0,,0.6827207207679749,,0.0,,0.694278359413147,,0.0,,1.3769991397857666,
14,14,,-0.0,,0.6826655864715576,,-0.0,,0.6930689811706543,,0.0,,1.375734567642212
14,14,0.0,,0.6826655864715576,,0.0,,0.6930689811706543,,0.0,,1.375734567642212,
15,15,,-0.0,,0.6826151013374329,,-0.0,,0.7085087299346924,,0.0,,1.3911237716674805
15,15,0.0,,0.6826151013374329,,0.0,,0.7085087299346924,,0.0,,1.3911237716674805,
16,16,,-0.0,,0.6825647354125977,,-0.0,,0.6869320869445801,,0.0,,1.3694968223571777
16,16,0.0,,0.6825647354125977,,0.0,,0.6869320869445801,,0.0,,1.3694968223571777,
17,17,,-0.0,,0.6825581789016724,,-0.0,,0.6888959407806396,,0.0,,1.371454119682312
17,17,0.0,,0.6825581789016724,,0.0,,0.6888959407806396,,0.0,,1.371454119682312,
18,18,,-0.0,,0.6825478076934814,,-0.0,,0.7044163346290588,,0.0,,1.3869640827178955
18,18,0.0,,0.6825478076934814,,0.0,,0.7044163346290588,,0.0,,1.3869640827178955,
19,19,,-0.0,,0.6825462579727173,,-0.0,,0.6978937387466431,,0.0,,1.3804399967193604
19,19,0.0,,0.6825462579727173,,0.0,,0.6978937387466431,,0.0,,1.3804399967193604,
