epoch,step,train_box_loss_epoch,train_box_loss_step,train_center_loss_epoch,train_center_loss_step,train_instance_cls_loss_epoch,train_instance_cls_loss_step,train_mask_loss_epoch,train_mask_loss_step,train_semantic_loss_epoch,train_semantic_loss_step,train_total_loss_epoch,train_total_loss_step
0,0,,1.0,,0.7840403318405151,,0.6935030221939087,,0.7343425154685974,,0.5693846940994263,,3.7812705039978027
0,0,1.0,,0.7840403318405151,,0.6935030221939087,,0.7343425154685974,,0.5693846940994263,,3.7812705039978027,
1,1,,1.0,,0.7790392637252808,,0.6912912130355835,,0.7656596302986145,,0.4715132415294647,,3.7075035572052
1,1,1.0,,0.7790392637252808,,0.6912912130355835,,0.7656596302986145,,0.4715132415294647,,3.7075035572052,
2,2,,1.0,,0.7566445469856262,,0.6945198178291321,,0.7379376292228699,,0.5070627927780151,,3.696164846420288
2,2,1.0,,0.7566445469856262,,0.6945198178291321,,0.7379376292228699,,0.5070627927780151,,3.696164846420288,
3,3,,1.0,,0.7606417536735535,,0.6921738386154175,,0.7590755224227905,,0.44294652342796326,,3.6548376083374023
3,3,1.0,,0.7606417536735535,,0.6921738386154175,,0.7590755224227905,,0.44294652342796326,,3.6548376083374023,
4,4,,1.0,,0.7296959757804871,,0.6919090151786804,,0.6986768841743469,,0.4105728566646576,,3.5308547019958496
4,4,1.0,,0.7296959757804871,,0.6919090151786804,,0.6986768841743469,,0.4105728566646576,,3.5308547019958496,
5,5,,1.0,,0.7326081395149231,,0.6929417848587036,,0.743234395980835,,0.38458266854286194,,3.5533668994903564
5,5,1.0,,0.7326081395149231,,0.6929417848587036,,0.743234395980835,,0.38458266854286194,,3.5533668994903564,
6,6,,1.0,,0.7137467265129089,,0.6902540922164917,,0.7145212292671204,,0.38867032527923584,,3.507192373275757
6,6,1.0,,0.7137467265129089,,0.6902540922164917,,0.7145212292671204,,0.38867032527923584,,3.507192373275757,
7,7,,1.0,,0.7036948800086975,,0.6892321109771729,,0.7284070253372192,,0.3836193084716797,,3.504953384399414
7,7,1.0,,0.7036948800086975,,0.6892321109771729,,0.7284070253372192,,0.3836193084716797,,3.504953384399414,
8,8,,1.0,,0.6892362833023071,,0.6918613314628601,,0.7746282815933228,,0.3246396780014038,,3.480365753173828
