epoch,step,train/loss_box_reg_epoch,train/loss_box_reg_step,train/loss_classifier_epoch,train/loss_classifier_step,train/loss_mask_epoch,train/loss_mask_step,train/loss_objectness_epoch,train/loss_objectness_step,train/loss_rpn_box_reg_epoch,train/loss_rpn_box_reg_step,train/total_loss_epoch,train/total_loss_step
0,0,,0.29034411907196045,,0.6944602727890015,,0.8176619410514832,,0.6994627714157104,,0.335781991481781,,2.8377110958099365
0,0,0.29034411907196045,,0.6944602727890015,,0.8176619410514832,,0.6994627714157104,,0.335781991481781,,2.8377110958099365,
1,1,,0.2576681673526764,,0.6944026350975037,,0.7174330949783325,,0.6947771906852722,,0.3243824541568756,,2.6886634826660156
1,1,0.2576681673526764,,0.6944026350975037,,0.7174330949783325,,0.6947771906852722,,0.3243824541568756,,2.6886634826660156,
