epoch,step,train_box_loss_epoch,train_box_loss_step,train_center_loss_epoch,train_center_loss_step,train_instance_cls_loss_epoch,train_instance_cls_loss_step,train_mask_loss_epoch,train_mask_loss_step,train_semantic_loss_epoch,train_semantic_loss_step,train_total_loss_epoch,train_total_loss_step
0,0,,95.94160461425781,,0.6623261570930481,,0.700498104095459,,0.6910227537155151,,0.5222193002700806,,98.5176773071289
0,0,95.94160461425781,,0.6623261570930481,,0.700498104095459,,0.6910227537155151,,0.5222193002700806,,98.5176773071289,
1,1,,188.3472137451172,,0.6564618945121765,,0.6872999668121338,,0.7002966403961182,,0.5033233165740967,,190.8946075439453
1,1,188.3472137451172,,0.6564618945121765,,0.6872999668121338,,0.7002966403961182,,0.5033233165740967,,190.8946075439453,
2,2,,82.89201354980469,,0.6443156599998474,,0.6950002312660217,,0.6825668811798096,,0.40409228205680847,,85.31798553466797
2,2,82.89201354980469,,0.6443156599998474,,0.6950002312660217,,0.6825668811798096,,0.40409228205680847,,85.31798553466797,
3,3,,147.76971435546875,,0.6404395699501038,,0.6839844584465027,,0.7020508050918579,,0.3318832218647003,,150.12808227539062
3,3,147.76971435546875,,0.6404395699501038,,0.6839844584465027,,0.7020508050918579,,0.3318832218647003,,150.12808227539062,
4,4,,108.3370590209961,,0.6257117390632629,,0.6907187700271606,,0.7054982781410217,,0.3564738929271698,,110.71546173095703
4,4,108.3370590209961,,0.6257117390632629,,0.6907187700271606,,0.7054982781410217,,0.3564738929271698,,110.71546173095703,
5,5,,146.7143096923828,,0.6201528906822205,,0.6845694184303284,,0.6748626232147217,,0.33526962995529175,,149.0291748046875
5,5,146.7143096923828,,0.6201528906822205,,0.6845694184303284,,0.6748626232147217,,0.33526962995529175,,149.0291748046875,
6,6,,115.1277847290039,,0.611355721950531,,0.6924124956130981,,0.6611347198486328,,0.29839691519737244,,117.39108276367188
6,6,115.1277847290039,,0.611355721950531,,0.6924124956130981,,0.6611347198486328,,0.29839691519737244,,117.39108276367188,
7,7,,115.04029846191406,,0.6046478748321533,,0.6923993825912476,,0.6637318134307861,,0.23112767934799194,,117.23220825195312
7,7,115.04029846191406,,0.6046478748321533,,0.6923993825912476,,0.6637318134307861,,0.23112767934799194,,117.23220825195312,
8,8,,175.93751525878906,,0.5927562713623047,,0.6821163892745972,,0.6782384514808655,,0.2975276708602905,,178.1881561279297
8,8,175.93751525878906,,0.5927562713623047,,0.6821163892745972,,0.6782384514808655,,0.2975276708602905,,178.1881561279297,
9,9,,186.2468719482422,,0.5936478972434998,,0.6894968748092651,,0.6867429614067078,,0.36127930879592896,,188.57803344726562
9,9,186.2468719482422,,0.5936478972434998,,0.6894968748092651,,0.6867429614067078,,0.36127930879592896,,188.57803344726562,
10,10,,75.18223571777344,,0.5696757435798645,,0.6933407783508301,,0.5996211171150208,,0.535422682762146,,77.5802993774414
