epoch,step,train_box_loss_epoch,train_box_loss_step,train_center_loss_epoch,train_center_loss_step,train_instance_cls_loss_epoch,train_instance_cls_loss_step,train_mask_loss_epoch,train_mask_loss_step,train_semantic_loss_epoch,train_semantic_loss_step,train_total_loss_epoch,train_total_loss_step
0,0,,1.0,,0.6473562717437744,,0.6917074918746948,,0.0,,0.8148288130760193,,1.04873526096344
0,0,1.0,,0.6473562717437744,,0.6917074918746948,,0.0,,0.8148288130760193,,1.04873526096344,
1,1,,1.0,,0.6376193761825562,,0.7005451917648315,,0.0,,0.723796010017395,,0.9576125144958496
1,1,1.0,,0.6376193761825562,,0.7005451917648315,,0.0,,0.723796010017395,,0.9576125144958496,
2,2,,1.0,,0.6375803351402283,,0.6943311095237732,,0.0,,0.7984064221382141,,1.03159761428833
2,2,1.0,,0.6375803351402283,,0.6943311095237732,,0.0,,0.7984064221382141,,1.03159761428833,
3,3,,1.0,,0.6226904988288879,,0.696081280708313,,0.0,,0.6123775243759155,,0.844254732131958
3,3,1.0,,0.6226904988288879,,0.696081280708313,,0.0,,0.6123775243759155,,0.844254732131958,
4,4,,1.0,,0.6191985607147217,,0.692828893661499,,0.0,,0.6319535970687866,,0.8631563782691956
4,4,1.0,,0.6191985607147217,,0.692828893661499,,0.0,,0.6319535970687866,,0.8631563782691956,
5,5,,1.0,,0.611405611038208,,0.6934956908226013,,0.0,,0.656048059463501,,0.8865382075309753
5,5,1.0,,0.611405611038208,,0.6934956908226013,,0.0,,0.656048059463501,,0.8865382075309753,
6,6,,1.0,,0.6119763851165771,,0.6953859329223633,,0.0,,0.7429596781730652,,0.9736959338188171
6,6,1.0,,0.6119763851165771,,0.6953859329223633,,0.0,,0.7429596781730652,,0.9736959338188171,
7,7,,1.0,,0.6086998581886292,,0.6947100162506104,,0.0,,0.5430272817611694,,0.7733682990074158
7,7,1.0,,0.6086998581886292,,0.6947100162506104,,0.0,,0.5430272817611694,,0.7733682990074158,
8,8,,1.0,,0.6025840640068054,,0.6940762996673584,,0.0,,0.5285364389419556,,0.7582024931907654
8,8,1.0,,0.6025840640068054,,0.6940762996673584,,0.0,,0.5285364389419556,,0.7582024931907654,
9,9,,1.0,,0.6091250777244568,,0.6919606328010559,,0.0,,0.5151940584182739,,0.7453026175498962
9,9,1.0,,0.6091250777244568,,0.6919606328010559,,0.0,,0.5151940584182739,,0.7453026175498962,
