epoch,step,train_box_loss_epoch,train_box_loss_step,train_center_loss_epoch,train_center_loss_step,train_instance_cls_loss_epoch,train_instance_cls_loss_step,train_mask_loss_epoch,train_mask_loss_step,train_semantic_loss_epoch,train_semantic_loss_step,train_total_loss_epoch,train_total_loss_step
0,0,,1.0,,0.5666835308074951,,0.693111777305603,,0.0,,0.523457407951355,,0.7494369745254517
0,0,1.0,,0.5666835308074951,,0.693111777305603,,0.0,,0.523457407951355,,0.7494369745254517,
1,1,,1.0,,0.5618507266044617,,0.693299412727356,,0.0,,0.488086462020874,,0.7136014699935913
1,1,1.0,,0.5618507266044617,,0.693299412727356,,0.0,,0.488086462020874,,0.7136014699935913,
2,2,,1.0,,0.5515204071998596,,0.6935290098190308,,0.0,,0.4662284553050995,,0.6907334327697754
2,2,1.0,,0.5515204071998596,,0.6935290098190308,,0.0,,0.4662284553050995,,0.6907334327697754,
3,3,,1.0,,0.5467996001243591,,0.693435549736023,,0.0,,0.3922785520553589,,0.6163020730018616
3,3,1.0,,0.5467996001243591,,0.693435549736023,,0.0,,0.3922785520553589,,0.6163020730018616,
4,4,,1.0,,0.5441790223121643,,0.6931540966033936,,0.0,,0.4158031642436981,,0.6395364999771118
4,4,1.0,,0.5441790223121643,,0.6931540966033936,,0.0,,0.4158031642436981,,0.6395364999771118,
5,5,,1.0,,0.5382965207099915,,0.6934766173362732,,0.0,,0.48041701316833496,,0.7035943865776062
5,5,1.0,,0.5382965207099915,,0.6934766173362732,,0.0,,0.48041701316833496,,0.7035943865776062,
6,6,,1.0,,0.535223662853241,,0.6929963827133179,,0.0,,0.29602453112602234,,0.5188465118408203
6,6,1.0,,0.535223662853241,,0.6929963827133179,,0.0,,0.29602453112602234,,0.5188465118408203,
7,7,,1.0,,0.5285132527351379,,0.6929135918617249,,0.0,,0.31071141362190247,,0.5328540802001953
7,7,1.0,,0.5285132527351379,,0.6929135918617249,,0.0,,0.31071141362190247,,0.5328540802001953,
8,8,,1.0,,0.5208839178085327,,0.6935092210769653,,0.0,,0.3103042542934418,,0.5317435264587402
8,8,1.0,,0.5208839178085327,,0.6935092210769653,,0.0,,0.3103042542934418,,0.5317435264587402,
9,9,,1.0,,0.5151833295822144,,0.6924335360527039,,0.0,,0.23827426135540009,,0.4590359330177307
9,9,1.0,,0.5151833295822144,,0.6924335360527039,,0.0,,0.23827426135540009,,0.4590359330177307,
10,10,,1.0,,0.5095975995063782,,0.6930696368217468,,0.0,,0.29306644201278687,,0.5133331418037415
10,10,1.0,,0.5095975995063782,,0.6930696368217468,,0.0,,0.29306644201278687,,0.5133331418037415,
11,11,,1.0,,0.5093748569488525,,0.6929651498794556,,0.0,,0.25950148701667786,,0.47973546385765076
11,11,1.0,,0.5093748569488525,,0.6929651498794556,,0.0,,0.25950148701667786,,0.47973546385765076,
12,12,,0.9999998211860657,,0.49899113178253174,,0.6932547688484192,,0.0,,0.34197697043418884,,0.5612015724182129
12,12,0.9999998211860657,,0.49899113178253174,,0.6932547688484192,,0.0,,0.34197697043418884,,0.5612015724182129,
13,13,,1.0,,0.4987020492553711,,0.6928908824920654,,0.0,,0.17541272938251495,,0.39457201957702637
13,13,1.0,,0.4987020492553711,,0.6928908824920654,,0.0,,0.17541272938251495,,0.39457201957702637,
14,14,,1.0,,0.49200063943862915,,0.6928935050964355,,0.0,,0.21973499655723572,,0.4382244050502777
14,14,1.0,,0.49200063943862915,,0.6928935050964355,,0.0,,0.21973499655723572,,0.4382244050502777,
15,15,,1.0,,0.4857020080089569,,0.6938556432723999,,0.0,,0.3152511715888977,,0.5332069396972656
15,15,1.0,,0.4857020080089569,,0.6938556432723999,,0.0,,0.3152511715888977,,0.5332069396972656,
16,16,,1.0,,0.4791618585586548,,0.692782998085022,,0.0,,0.15132193267345428,,0.3685164153575897
16,16,1.0,,0.4791618585586548,,0.692782998085022,,0.0,,0.15132193267345428,,0.3685164153575897,
17,17,,1.0,,0.4751218259334564,,0.6928932070732117,,0.0,,0.3038064241409302,,0.5206078886985779
17,17,1.0,,0.4751218259334564,,0.6928932070732117,,0.0,,0.3038064241409302,,0.5206078886985779,
18,18,,1.0,,0.4657893180847168,,0.6913513541221619,,0.0,,0.2568490207195282,,0.47256308794021606
18,18,1.0,,0.4657893180847168,,0.6913513541221619,,0.0,,0.2568490207195282,,0.47256308794021606,
19,19,,1.0,,0.46608343720436096,,0.6929744482040405,,0.0,,0.30180469155311584,,0.5177105069160461
19,19,1.0,,0.46608343720436096,,0.6929744482040405,,0.0,,0.30180469155311584,,0.5177105069160461,
20,20,,1.0,,0.4690265953540802,,0.6948149800300598,,0.0,,0.2682375907897949,,0.48462173342704773
20,20,1.0,,0.4690265953540802,,0.6948149800300598,,0.0,,0.2682375907897949,,0.48462173342704773,
21,21,,1.0,,0.4558956027030945,,0.6909580230712891,,0.0,,0.2087862193584442,,0.4234715700149536
21,21,1.0,,0.4558956027030945,,0.6909580230712891,,0.0,,0.2087862193584442,,0.4234715700149536,
22,22,,1.0,,0.4519714415073395,,0.6927317380905151,,0.0,,0.21574579179286957,,0.43021610379219055
22,22,1.0,,0.4519714415073395,,0.6927317380905151,,0.0,,0.21574579179286957,,0.43021610379219055,
23,23,,0.9999997019767761,,0.4537423551082611,,0.6926578283309937,,0.0,,0.21987400949001312,,0.43451398611068726
