epoch,step,train/loss_box_reg_epoch,train/loss_box_reg_step,train/loss_classifier_epoch,train/loss_classifier_step,train/loss_objectness_epoch,train/loss_objectness_step,train/loss_rpn_box_reg_epoch,train/loss_rpn_box_reg_step,train/total_loss_epoch,train/total_loss_step
0,0,,0.042354516685009,,1.6643704175949097,,0.009677514433860779,,0.35723549127578735,,2.0736379623413086
0,0,0.042354516685009,,1.6643704175949097,,0.009677514433860779,,0.35723549127578735,,2.0736379623413086,
1,1,,0.0,,1.7459723949432373,,0.01640813797712326,,0.0827946662902832,,1.8451751470565796
1,1,0.0,,1.7459723949432373,,0.01640813797712326,,0.0827946662902832,,1.8451751470565796,
2,2,,0.0,,1.6311984062194824,,0.009140992537140846,,0.11577439308166504,,1.7561137676239014
