epoch,step,train/loss_box_reg_epoch,train/loss_box_reg_step,train/loss_classifier_epoch,train/loss_classifier_step,train/loss_mask_epoch,train/loss_mask_step,train/loss_objectness_epoch,train/loss_objectness_step,train/loss_rpn_box_reg_epoch,train/loss_rpn_box_reg_step,train/total_loss_epoch,train/total_loss_step
0,0,,0.08924982696771622,,0.6936985850334167,,0.9453213810920715,,0.6899512410163879,,0.1525549590587616,,2.5707759857177734
0,0,0.08924982696771622,,0.6936985850334167,,0.9453213810920715,,0.6899512410163879,,0.1525549590587616,,2.5707759857177734,
1,1,,0.11552096158266068,,0.6936677694320679,,0.8308032155036926,,0.6736336350440979,,2.097055435180664,,4.410681247711182
1,1,0.11552096158266068,,0.6936677694320679,,0.8308032155036926,,0.6736336350440979,,2.097055435180664,,4.410681247711182,
2,2,,0.07645402103662491,,0.6935243010520935,,0.6309493184089661,,0.6966361403465271,,0.020987670868635178,,2.11855149269104
2,2,0.07645402103662491,,0.6935243010520935,,0.6309493184089661,,0.6966361403465271,,0.020987670868635178,,2.11855149269104,
3,3,,0.12255463749170303,,0.6933541297912598,,0.4715930223464966,,0.6851462125778198,,0.11150142550468445,,2.0841493606567383
3,3,0.12255463749170303,,0.6933541297912598,,0.4715930223464966,,0.6851462125778198,,0.11150142550468445,,2.0841493606567383,
4,4,,0.07009091973304749,,0.6931345462799072,,0.37940114736557007,,0.6931341290473938,,1.2253305912017822,,3.061091423034668
4,4,0.07009091973304749,,0.6931345462799072,,0.37940114736557007,,0.6931341290473938,,1.2253305912017822,,3.061091423034668,
5,5,,0.08131220936775208,,0.6928891539573669,,0.3407224416732788,,0.6919472217559814,,0.6873352527618408,,2.494206428527832
5,5,0.08131220936775208,,0.6928891539573669,,0.3407224416732788,,0.6919472217559814,,0.6873352527618408,,2.494206428527832,
6,6,,0.11370382457971573,,0.6925840377807617,,0.25824278593063354,,0.6925771236419678,,0.1329195201396942,,1.8900272846221924
6,6,0.11370382457971573,,0.6925840377807617,,0.25824278593063354,,0.6925771236419678,,0.1329195201396942,,1.8900272846221924,
7,7,,0.0920541062951088,,0.6922615170478821,,0.2350623905658722,,0.6909314393997192,,1.6101360321044922,,3.3204452991485596
7,7,0.0920541062951088,,0.6922615170478821,,0.2350623905658722,,0.6909314393997192,,1.6101360321044922,,3.3204452991485596,
8,8,,0.09371712058782578,,0.6919054388999939,,0.20736882090568542,,0.6858859062194824,,0.43376243114471436,,2.1126396656036377
8,8,0.09371712058782578,,0.6919054388999939,,0.20736882090568542,,0.6858859062194824,,0.43376243114471436,,2.1126396656036377,
9,9,,0.09668898582458496,,0.6919065713882446,,0.23973605036735535,,0.6897953152656555,,0.20629119873046875,,1.9244182109832764
9,9,0.09668898582458496,,0.6919065713882446,,0.23973605036735535,,0.6897953152656555,,0.20629119873046875,,1.9244182109832764,
10,10,,0.05868149548768997,,0.6918110847473145,,0.20126193761825562,,0.6912490725517273,,2.258329153060913,,3.9013328552246094
10,10,0.05868149548768997,,0.6918110847473145,,0.20126193761825562,,0.6912490725517273,,2.258329153060913,,3.9013328552246094,
11,11,,0.10724370926618576,,0.6917905211448669,,0.214907705783844,,0.6853563189506531,,0.03091513365507126,,1.7302134037017822
11,11,0.10724370926618576,,0.6917905211448669,,0.214907705783844,,0.6853563189506531,,0.03091513365507126,,1.7302134037017822,
12,12,,0.09276226907968521,,0.691750705242157,,0.1988176852464676,,0.6807695031166077,,0.722599983215332,,2.38670015335083
12,12,0.09276226907968521,,0.691750705242157,,0.1988176852464676,,0.6807695031166077,,0.722599983215332,,2.38670015335083,
13,13,,0.12928691506385803,,0.6916707158088684,,0.24107827246189117,,0.684284508228302,,1.75474214553833,,3.5010626316070557
13,13,0.12928691506385803,,0.6916707158088684,,0.24107827246189117,,0.684284508228302,,1.75474214553833,,3.5010626316070557,
14,14,,0.07503268122673035,,0.6916339993476868,,0.27265089750289917,,0.6841968297958374,,0.05418892577290535,,1.7777032852172852
14,14,0.07503268122673035,,0.6916339993476868,,0.27265089750289917,,0.6841968297958374,,0.05418892577290535,,1.7777032852172852,
15,15,,0.16807197034358978,,0.6915425658226013,,0.3066805899143219,,0.6803975105285645,,0.004142248071730137,,1.850834846496582
15,15,0.16807197034358978,,0.6915425658226013,,0.3066805899143219,,0.6803975105285645,,0.004142248071730137,,1.850834846496582,
16,16,,0.08861364424228668,,0.6915395855903625,,0.19970309734344482,,0.6878679394721985,,1.3660545349121094,,3.033778667449951
16,16,0.08861364424228668,,0.6915395855903625,,0.19970309734344482,,0.6878679394721985,,1.3660545349121094,,3.033778667449951,
17,17,,0.08938879519701004,,0.6915788650512695,,0.2095734030008316,,0.6851996779441833,,0.15354284644126892,,1.829283595085144
17,17,0.08938879519701004,,0.6915788650512695,,0.2095734030008316,,0.6851996779441833,,0.15354284644126892,,1.829283595085144,
18,18,,0.07866735011339188,,0.6915237903594971,,0.20437774062156677,,0.6922188997268677,,1.3107001781463623,,2.9774880409240723
18,18,0.07866735011339188,,0.6915237903594971,,0.20437774062156677,,0.6922188997268677,,1.3107001781463623,,2.9774880409240723,
19,19,,0.08436606824398041,,0.6915591955184937,,0.2044966071844101,,0.6820821762084961,,0.03646945208311081,,1.698973536491394
19,19,0.08436606824398041,,0.6915591955184937,,0.2044966071844101,,0.6820821762084961,,0.03646945208311081,,1.698973536491394,
