epoch,step,train_box_loss_epoch,train_box_loss_step,train_center_loss_epoch,train_center_loss_step,train_instance_cls_loss_epoch,train_instance_cls_loss_step,train_mask_loss_epoch,train_mask_loss_step,train_semantic_loss_epoch,train_semantic_loss_step,train_total_loss_epoch,train_total_loss_step
49,49,59.31789779663086,,0.22886474430561066,,0.700316846370697,,0.3950500190258026,,0.12063774466514587,,60.76276779174805,
50,50,,128.0984649658203,,0.21341249346733093,,0.6813726425170898,,0.4332365393638611,,0.40207982063293457,,129.8285675048828
50,50,128.0984649658203,,0.21341249346733093,,0.6813726425170898,,0.4332365393638611,,0.40207982063293457,,129.8285675048828,
51,51,,71.89388275146484,,0.2221490442752838,,0.7068072557449341,,0.37488797307014465,,0.20127564668655396,,73.39900207519531
51,51,71.89388275146484,,0.2221490442752838,,0.7068072557449341,,0.37488797307014465,,0.20127564668655396,,73.39900207519531,
52,52,,149.58642578125,,0.2345365583896637,,0.6748332381248474,,0.3840678930282593,,0.15867651998996735,,151.03854370117188
52,52,149.58642578125,,0.2345365583896637,,0.6748332381248474,,0.3840678930282593,,0.15867651998996735,,151.03854370117188,
53,53,,102.54534149169922,,0.21942180395126343,,0.6897721886634827,,0.37238746881484985,,0.11382906138896942,,103.94075775146484
53,53,102.54534149169922,,0.21942180395126343,,0.6897721886634827,,0.37238746881484985,,0.11382906138896942,,103.94075775146484,
54,54,,47.51192092895508,,0.1825014054775238,,0.7156988382339478,,0.34687307476997375,,0.21733596920967102,,48.97433090209961
54,54,47.51192092895508,,0.1825014054775238,,0.7156988382339478,,0.34687307476997375,,0.21733596920967102,,48.97433090209961,
55,55,,113.89488983154297,,0.19642148911952972,,0.6919187903404236,,0.3574333190917969,,0.12105169147253036,,115.26171875
55,55,113.89488983154297,,0.19642148911952972,,0.6919187903404236,,0.3574333190917969,,0.12105169147253036,,115.26171875,
56,56,,120.9054183959961,,0.20480632781982422,,0.6909872889518738,,0.3376222252845764,,0.11693530529737473,,122.25576782226562
56,56,120.9054183959961,,0.20480632781982422,,0.6909872889518738,,0.3376222252845764,,0.11693530529737473,,122.25576782226562,
57,57,,89.61238098144531,,0.20124539732933044,,0.6940953731536865,,0.3986864686012268,,0.1709565967321396,,91.07736206054688
57,57,89.61238098144531,,0.20124539732933044,,0.6940953731536865,,0.3986864686012268,,0.1709565967321396,,91.07736206054688,
58,58,,141.91915893554688,,0.1880132257938385,,0.6785162091255188,,0.3117159605026245,,0.12911811470985413,,143.22653198242188
58,58,141.91915893554688,,0.1880132257938385,,0.6785162091255188,,0.3117159605026245,,0.12911811470985413,,143.22653198242188,
59,59,,122.99349212646484,,0.169355109333992,,0.6831631660461426,,0.3469582796096802,,0.22834447026252747,,124.42131805419922
59,59,122.99349212646484,,0.169355109333992,,0.6831631660461426,,0.3469582796096802,,0.22834447026252747,,124.42131805419922,
