epoch,step,train/loss_box_reg_epoch,train/loss_box_reg_step,train/loss_classifier_epoch,train/loss_classifier_step,train/loss_mask_epoch,train/loss_mask_step,train/loss_objectness_epoch,train/loss_objectness_step,train/loss_rpn_box_reg_epoch,train/loss_rpn_box_reg_step,train/total_loss_epoch,train/total_loss_step
0,0,,-0.0,,0.6872680187225342,,-0.0,,0.7035925388336182,,0.0,,1.3908605575561523
0,0,0.0,,0.6872680187225342,,0.0,,0.7035925388336182,,0.0,,1.3908605575561523,
1,1,,-0.0,,0.6872020959854126,,-0.0,,0.691512942314148,,0.0,,1.3787150382995605
1,1,0.0,,0.6872020959854126,,0.0,,0.691512942314148,,0.0,,1.3787150382995605,
2,2,,-0.0,,0.6870748400688171,,-0.0,,0.7111148834228516,,0.0,,1.3981897830963135
2,2,0.0,,0.6870748400688171,,0.0,,0.7111148834228516,,0.0,,1.3981897830963135,
3,3,,-0.0,,0.6868870854377747,,-0.0,,0.7014137506484985,,0.0,,1.388300895690918
3,3,0.0,,0.6868870854377747,,0.0,,0.7014137506484985,,0.0,,1.388300895690918,
4,4,,-0.0,,0.6866529583930969,,-0.0,,0.7014698386192322,,0.0,,1.388122797012329
4,4,0.0,,0.6866529583930969,,0.0,,0.7014698386192322,,0.0,,1.388122797012329,
5,5,,-0.0,,0.6863754391670227,,-0.0,,0.702372670173645,,0.0,,1.3887481689453125
5,5,0.0,,0.6863754391670227,,0.0,,0.702372670173645,,0.0,,1.3887481689453125,
6,6,,-0.0,,0.686055600643158,,-0.0,,0.7001281380653381,,0.0,,1.386183738708496
6,6,0.0,,0.686055600643158,,0.0,,0.7001281380653381,,0.0,,1.386183738708496,
7,7,,-0.0,,0.6856980919837952,,-0.0,,0.7066808938980103,,0.0,,1.3923790454864502
7,7,0.0,,0.6856980919837952,,0.0,,0.7066808938980103,,0.0,,1.3923790454864502,
8,8,,-0.0,,0.6853155493736267,,-0.0,,0.7043138742446899,,0.0,,1.3896293640136719
8,8,0.0,,0.6853155493736267,,0.0,,0.7043138742446899,,0.0,,1.3896293640136719,
9,9,,-0.0,,0.685272216796875,,-0.0,,0.7105947732925415,,0.0,,1.3958669900894165
9,9,0.0,,0.685272216796875,,0.0,,0.7105947732925415,,0.0,,1.3958669900894165,
10,10,,-0.0,,0.6852299571037292,,-0.0,,0.714138925075531,,0.0,,1.3993688821792603
10,10,0.0,,0.6852299571037292,,0.0,,0.714138925075531,,0.0,,1.3993688821792603,
11,11,,-0.0,,0.6851892471313477,,-0.0,,0.7011200785636902,,0.0,,1.3863093852996826
11,11,0.0,,0.6851892471313477,,0.0,,0.7011200785636902,,0.0,,1.3863093852996826,
12,12,,-0.0,,0.6851326823234558,,-0.0,,0.7009642124176025,,0.0,,1.3860969543457031
12,12,0.0,,0.6851326823234558,,0.0,,0.7009642124176025,,0.0,,1.3860969543457031,
13,13,,-0.0,,0.6850823760032654,,-0.0,,0.6965621113777161,,0.0,,1.3816444873809814
13,13,0.0,,0.6850823760032654,,0.0,,0.6965621113777161,,0.0,,1.3816444873809814,
14,14,,-0.0,,0.6850219368934631,,-0.0,,0.7008802890777588,,0.0,,1.3859021663665771
14,14,0.0,,0.6850219368934631,,0.0,,0.7008802890777588,,0.0,,1.3859021663665771,
15,15,,-0.0,,0.6849789023399353,,-0.0,,0.6884700059890747,,0.0,,1.3734488487243652
15,15,0.0,,0.6849789023399353,,0.0,,0.6884700059890747,,0.0,,1.3734488487243652,
16,16,,-0.0,,0.6849231123924255,,-0.0,,0.6994332075119019,,0.0,,1.3843562602996826
16,16,0.0,,0.6849231123924255,,0.0,,0.6994332075119019,,0.0,,1.3843562602996826,
17,17,,-0.0,,0.6849129796028137,,-0.0,,0.7036848664283752,,0.0,,1.388597846031189
17,17,0.0,,0.6849129796028137,,0.0,,0.7036848664283752,,0.0,,1.388597846031189,
18,18,,-0.0,,0.6849052309989929,,-0.0,,0.699878454208374,,0.0,,1.3847837448120117
18,18,0.0,,0.6849052309989929,,0.0,,0.699878454208374,,0.0,,1.3847837448120117,
19,19,,-0.0,,0.6849059462547302,,-0.0,,0.7120769023895264,,0.0,,1.3969829082489014
19,19,0.0,,0.6849059462547302,,0.0,,0.7120769023895264,,0.0,,1.3969829082489014,
