epoch,step,train_loss_epoch,train_loss_step
0,0,,0.5949628353118896
0,0,0.5949628353118896,
1,1,,0.5039075016975403
1,1,0.5039075016975403,
2,2,,0.5702044367790222
2,2,0.5702044367790222,
3,3,,0.5012220740318298
3,3,0.5012220740318298,
4,4,,0.4984467327594757
4,4,0.4984467327594757,
5,5,,0.4071742594242096
5,5,0.4071742594242096,
6,6,,0.36864572763442993
6,6,0.36864572763442993,
7,7,,0.48824435472488403
7,7,0.48824435472488403,
8,8,,0.5302525758743286
8,8,0.5302525758743286,
9,9,,0.4260457754135132
9,9,0.4260457754135132,
10,10,,0.3783550262451172
10,10,0.3783550262451172,
11,11,,0.4118729531764984
11,11,0.4118729531764984,
12,12,,0.4260886609554291
12,12,0.4260886609554291,
13,13,,0.40697506070137024
13,13,0.40697506070137024,
14,14,,0.4552599787712097
14,14,0.4552599787712097,
15,15,,0.37638235092163086
15,15,0.37638235092163086,
16,16,,0.3517034947872162
16,16,0.3517034947872162,
17,17,,0.433137446641922
17,17,0.433137446641922,
18,18,,0.349705308675766
18,18,0.349705308675766,
19,19,,0.4101775288581848
19,19,0.4101775288581848,
20,20,,0.37337878346443176
20,20,0.37337878346443176,
21,21,,0.3404909670352936
21,21,0.3404909670352936,
22,22,,0.3275761604309082
22,22,0.3275761604309082,
23,23,,0.3399635851383209
23,23,0.3399635851383209,
24,24,,0.30775174498558044
24,24,0.30775174498558044,
25,25,,0.2976054549217224
25,25,0.2976054549217224,
26,26,,0.27686432003974915
26,26,0.27686432003974915,
27,27,,0.3276556134223938
27,27,0.3276556134223938,
28,28,,0.2674154043197632
28,28,0.2674154043197632,
29,29,,0.27117905020713806
29,29,0.27117905020713806,
30,30,,0.26973429322242737
30,30,0.26973429322242737,
31,31,,0.22342345118522644
31,31,0.22342345118522644,
32,32,,0.35922497510910034
32,32,0.35922497510910034,
33,33,,0.232745960354805
33,33,0.232745960354805,
34,34,,0.27136102318763733
34,34,0.27136102318763733,
35,35,,0.25572749972343445
35,35,0.25572749972343445,
36,36,,0.32586607336997986
36,36,0.32586607336997986,
37,37,,0.32195237278938293
37,37,0.32195237278938293,
38,38,,0.3149878680706024
38,38,0.3149878680706024,
39,39,,0.25549694895744324
39,39,0.25549694895744324,
40,40,,0.2357521802186966
40,40,0.2357521802186966,
41,41,,0.275291383266449
41,41,0.275291383266449,
