epoch,step,train/loss_box_reg_epoch,train/loss_box_reg_step,train/loss_classifier_epoch,train/loss_classifier_step,train/loss_mask_epoch,train/loss_mask_step,train/loss_objectness_epoch,train/loss_objectness_step,train/loss_rpn_box_reg_epoch,train/loss_rpn_box_reg_step,train/total_loss_epoch,train/total_loss_step
0,0,,0.011340932920575142,,2.614867687225342,,1.0436890125274658,,0.010126389563083649,,0.1211920753121376,,3.8012161254882812
0,0,0.011340932920575142,,2.614867687225342,,1.0436890125274658,,0.010126389563083649,,0.1211920753121376,,3.8012161254882812,
1,1,,nan,,nan,,nan,,0.6931471824645996,,0.02999216318130493,,nan
1,1,nan,,nan,,nan,,0.6931471824645996,,0.02999216318130493,,nan,
