epoch,step,train/loss_box_reg_epoch,train/loss_box_reg_step,train/loss_classifier_epoch,train/loss_classifier_step,train/loss_mask_epoch,train/loss_mask_step,train/loss_objectness_epoch,train/loss_objectness_step,train/loss_rpn_box_reg_epoch,train/loss_rpn_box_reg_step,train/total_loss_epoch,train/total_loss_step
0,0,,0.9284456372261047,,0.7116902470588684,,0.6126086711883545,,0.7057664394378662,,0.0,,2.9585108757019043
0,0,0.9284456372261047,,0.7116902470588684,,0.6126086711883545,,0.7057664394378662,,0.0,,2.9585108757019043,
1,1,,0.0,,0.7129301428794861,,0.0,,0.7143665552139282,,0.0,,1.4272966384887695
1,1,0.0,,0.7129301428794861,,0.0,,0.7143665552139282,,0.0,,1.4272966384887695,
2,2,,0.19778862595558167,,0.7117365598678589,,0.5305116176605225,,0.7144458293914795,,0.0,,2.15448260307312
2,2,0.19778862595558167,,0.7117365598678589,,0.5305116176605225,,0.7144458293914795,,0.0,,2.15448260307312,
3,3,,0.18286484479904175,,0.7109611630439758,,0.42797210812568665,,0.7016149759292603,,0.0,,2.0234131813049316
3,3,0.18286484479904175,,0.7109611630439758,,0.42797210812568665,,0.7016149759292603,,0.0,,2.0234131813049316,
4,4,,0.2618325650691986,,0.7110511064529419,,0.3546413779258728,,0.6936385035514832,,0.0,,2.0211634635925293
4,4,0.2618325650691986,,0.7110511064529419,,0.3546413779258728,,0.6936385035514832,,0.0,,2.0211634635925293,
5,5,,0.8930062055587769,,0.7118263244628906,,0.3278486132621765,,0.7100778222084045,,0.0,,2.642759084701538
5,5,0.8930062055587769,,0.7118263244628906,,0.3278486132621765,,0.7100778222084045,,0.0,,2.642759084701538,
6,6,,0.49338310956954956,,0.710435152053833,,0.247575581073761,,0.6984995603561401,,0.0,,2.149893283843994
6,6,0.49338310956954956,,0.710435152053833,,0.247575581073761,,0.6984995603561401,,0.0,,2.149893283843994,
7,7,,0.6465986967086792,,0.7100409865379333,,0.21578557789325714,,0.6934711933135986,,0.0,,2.2658963203430176
7,7,0.6465986967086792,,0.7100409865379333,,0.21578557789325714,,0.6934711933135986,,0.0,,2.2658963203430176,
8,8,,0.5502884984016418,,0.7103200554847717,,0.2654055655002594,,0.7105257511138916,,0.0,,2.236539840698242
8,8,0.5502884984016418,,0.7103200554847717,,0.2654055655002594,,0.7105257511138916,,0.0,,2.236539840698242,
9,9,,8.238374710083008,,0.7109768986701965,,0.16513493657112122,,0.7006223797798157,,0.0,,9.815109252929688
9,9,8.238374710083008,,0.7109768986701965,,0.16513493657112122,,0.7006223797798157,,0.0,,9.815109252929688,
10,10,,0.19899290800094604,,0.710239052772522,,0.19795238971710205,,0.6920385956764221,,0.0,,1.7992230653762817
10,10,0.19899290800094604,,0.710239052772522,,0.19795238971710205,,0.6920385956764221,,0.0,,1.7992230653762817,
11,11,,0.20474915206432343,,0.7107503414154053,,0.25339779257774353,,0.7070374488830566,,0.0,,1.8759347200393677
11,11,0.20474915206432343,,0.7107503414154053,,0.25339779257774353,,0.7070374488830566,,0.0,,1.8759347200393677,
