epoch,step,train_loss_epoch,train_loss_step
0,0,,0.5942620038986206
0,0,0.5942620038986206,
1,1,,0.5721834897994995
1,1,0.5721834897994995,
2,2,,0.5508759021759033
2,2,0.5508759021759033,
3,3,,0.5202412009239197
3,3,0.5202412009239197,
4,4,,0.5034665465354919
4,4,0.5034665465354919,
5,5,,0.5402117967605591
5,5,0.5402117967605591,
6,6,,0.44836798310279846
6,6,0.44836798310279846,
7,7,,0.4442135691642761
7,7,0.4442135691642761,
8,8,,0.42478176951408386
8,8,0.42478176951408386,
9,9,,0.3895656168460846
9,9,0.3895656168460846,
10,10,,0.373099148273468
10,10,0.373099148273468,
11,11,,0.36689475178718567
11,11,0.36689475178718567,
12,12,,0.4057425260543823
12,12,0.4057425260543823,
13,13,,0.3827439248561859
13,13,0.3827439248561859,
14,14,,0.33530983328819275
14,14,0.33530983328819275,
15,15,,0.3578662574291229
15,15,0.3578662574291229,
16,16,,0.3299543857574463
16,16,0.3299543857574463,
17,17,,0.33618631958961487
17,17,0.33618631958961487,
18,18,,0.30527302622795105
18,18,0.30527302622795105,
19,19,,0.28196126222610474
19,19,0.28196126222610474,
20,20,,0.28437545895576477
20,20,0.28437545895576477,
21,21,,0.274538516998291
21,21,0.274538516998291,
22,22,,0.276993066072464
22,22,0.276993066072464,
23,23,,0.3003079891204834
23,23,0.3003079891204834,
24,24,,0.2560030221939087
24,24,0.2560030221939087,
25,25,,0.24889931082725525
25,25,0.24889931082725525,
26,26,,0.2506999671459198
26,26,0.2506999671459198,
27,27,,0.23965689539909363
27,27,0.23965689539909363,
28,28,,0.26228615641593933
28,28,0.26228615641593933,
29,29,,0.2359207719564438
29,29,0.2359207719564438,
30,30,,0.2583809792995453
30,30,0.2583809792995453,
31,31,,0.24702675640583038
31,31,0.24702675640583038,
32,32,,0.2250833660364151
32,32,0.2250833660364151,
33,33,,0.29015374183654785
33,33,0.29015374183654785,
34,34,,0.20896612107753754
34,34,0.20896612107753754,
35,35,,0.2339312732219696
35,35,0.2339312732219696,
36,36,,0.23372343182563782
36,36,0.23372343182563782,
37,37,,0.2164800614118576
37,37,0.2164800614118576,
38,38,,0.20460756123065948
38,38,0.20460756123065948,
39,39,,0.21870657801628113
39,39,0.21870657801628113,
40,40,,0.1944761872291565
40,40,0.1944761872291565,
41,41,,0.22136147320270538
41,41,0.22136147320270538,
42,42,,0.1935996264219284
42,42,0.1935996264219284,
43,43,,0.24451422691345215
43,43,0.24451422691345215,
44,44,,0.24059973657131195
44,44,0.24059973657131195,
45,45,,0.23242904245853424
45,45,0.23242904245853424,
46,46,,0.21662642061710358
46,46,0.21662642061710358,
47,47,,0.1879400908946991
47,47,0.1879400908946991,
48,48,,0.2187635451555252
48,48,0.2187635451555252,
49,49,,0.23345322906970978
49,49,0.23345322906970978,
