epoch,step,train/loss_box_reg_epoch,train/loss_box_reg_step,train/loss_classifier_epoch,train/loss_classifier_step,train/loss_mask_epoch,train/loss_mask_step,train/loss_objectness_epoch,train/loss_objectness_step,train/loss_rpn_box_reg_epoch,train/loss_rpn_box_reg_step,train/total_loss_epoch,train/total_loss_step
0,0,,0.025611281394958496,,0.7587685585021973,,15.347705841064453,,0.010033661499619484,,0.07418239116668701,,16.21630096435547
0,0,0.025611281394958496,,0.7587685585021973,,15.347705841064453,,0.010033661499619484,,0.07418239116668701,,16.21630096435547,
1,1,,0.0,,0.0,,0.0,,0.6931471824645996,,0.22020873427391052,,0.9133559465408325
1,1,0.0,,0.0,,0.0,,0.6931471824645996,,0.22020873427391052,,0.9133559465408325,
2,2,,0.0,,0.0,,0.0,,0.6931471824645996,,0.24943675100803375,,0.9425839185714722
2,2,0.0,,0.0,,0.0,,0.6931471824645996,,0.24943675100803375,,0.9425839185714722,
3,3,,0.0,,0.0,,0.0,,0.6931471824645996,,0.23763513565063477,,0.9307823181152344
3,3,0.0,,0.0,,0.0,,0.6931471824645996,,0.23763513565063477,,0.9307823181152344,
4,4,,0.0,,0.0,,0.0,,0.6931471824645996,,0.38726627826690674,,1.0804134607315063
4,4,0.0,,0.0,,0.0,,0.6931471824645996,,0.38726627826690674,,1.0804134607315063,
5,5,,0.0,,0.0,,0.0,,0.6931471824645996,,0.8593116402626038,,1.5524587631225586
5,5,0.0,,0.0,,0.0,,0.6931471824645996,,0.8593116402626038,,1.5524587631225586,
6,6,,0.0,,0.0,,0.0,,0.6931471824645996,,0.304330050945282,,0.9974772334098816
6,6,0.0,,0.0,,0.0,,0.6931471824645996,,0.304330050945282,,0.9974772334098816,
7,7,,0.0,,0.0,,0.0,,0.6931471824645996,,0.4599519968032837,,1.1530991792678833
7,7,0.0,,0.0,,0.0,,0.6931471824645996,,0.4599519968032837,,1.1530991792678833,
8,8,,0.0,,0.0,,0.0,,0.6931471824645996,,0.3962343633174896,,1.0893815755844116
8,8,0.0,,0.0,,0.0,,0.6931471824645996,,0.3962343633174896,,1.0893815755844116,
9,9,,0.0,,0.0,,0.0,,0.6931471824645996,,0.09331115335226059,,0.7864583134651184
9,9,0.0,,0.0,,0.0,,0.6931471824645996,,0.09331115335226059,,0.7864583134651184,
10,10,,0.0,,0.0,,0.0,,0.6931471824645996,,0.21160045266151428,,0.9047476053237915
10,10,0.0,,0.0,,0.0,,0.6931471824645996,,0.21160045266151428,,0.9047476053237915,
11,11,,0.0,,0.0,,0.0,,0.6931471824645996,,0.04049992561340332,,0.7336471080780029
11,11,0.0,,0.0,,0.0,,0.6931471824645996,,0.04049992561340332,,0.7336471080780029,
12,12,,0.0,,0.0,,0.0,,0.6931471824645996,,0.07212705910205841,,0.7652742266654968
12,12,0.0,,0.0,,0.0,,0.6931471824645996,,0.07212705910205841,,0.7652742266654968,
13,13,,0.0,,0.0,,0.0,,0.6931471824645996,,0.26351141929626465,,0.9566586017608643
13,13,0.0,,0.0,,0.0,,0.6931471824645996,,0.26351141929626465,,0.9566586017608643,
14,14,,0.0,,0.0,,0.0,,0.6931471824645996,,0.3192238211631775,,1.0123710632324219
14,14,0.0,,0.0,,0.0,,0.6931471824645996,,0.3192238211631775,,1.0123710632324219,
15,15,,0.0,,0.0,,0.0,,0.6931471824645996,,0.31232750415802,,1.0054746866226196
15,15,0.0,,0.0,,0.0,,0.6931471824645996,,0.31232750415802,,1.0054746866226196,
16,16,,0.0,,0.0,,0.0,,0.6931471824645996,,0.1241295337677002,,0.8172767162322998
16,16,0.0,,0.0,,0.0,,0.6931471824645996,,0.1241295337677002,,0.8172767162322998,
17,17,,0.0,,0.0,,0.0,,0.6931471824645996,,0.16361573338508606,,0.8567628860473633
17,17,0.0,,0.0,,0.0,,0.6931471824645996,,0.16361573338508606,,0.8567628860473633,
18,18,,0.0,,0.0,,0.0,,0.6931471824645996,,0.1270657777786255,,0.8202129602432251
18,18,0.0,,0.0,,0.0,,0.6931471824645996,,0.1270657777786255,,0.8202129602432251,
19,19,,0.0,,0.0,,0.0,,0.6931471824645996,,0.12270290404558182,,0.8158500790596008
19,19,0.0,,0.0,,0.0,,0.6931471824645996,,0.12270290404558182,,0.8158500790596008,
20,20,,0.0,,0.0,,0.0,,0.6931471824645996,,0.33848267793655396,,1.0316298007965088
20,20,0.0,,0.0,,0.0,,0.6931471824645996,,0.33848267793655396,,1.0316298007965088,
21,21,,0.0,,0.0,,0.0,,0.6931471824645996,,0.29029977321624756,,0.9834469556808472
21,21,0.0,,0.0,,0.0,,0.6931471824645996,,0.29029977321624756,,0.9834469556808472,
22,22,,0.0,,0.0,,0.0,,0.6931471824645996,,0.126397043466568,,0.8195441961288452
22,22,0.0,,0.0,,0.0,,0.6931471824645996,,0.126397043466568,,0.8195441961288452,
23,23,,0.0,,0.0,,0.0,,0.6931471824645996,,0.493020236492157,,1.1861674785614014
23,23,0.0,,0.0,,0.0,,0.6931471824645996,,0.493020236492157,,1.1861674785614014,
24,24,,0.0,,0.0,,0.0,,0.6931471824645996,,0.453102171421051,,1.1462492942810059
24,24,0.0,,0.0,,0.0,,0.6931471824645996,,0.453102171421051,,1.1462492942810059,
25,25,,0.0,,0.0,,0.0,,0.6931471824645996,,0.07784149795770645,,0.7709887027740479
25,25,0.0,,0.0,,0.0,,0.6931471824645996,,0.07784149795770645,,0.7709887027740479,
26,26,,0.0,,0.0,,0.0,,0.6931471824645996,,0.057174794375896454,,0.7503219842910767
26,26,0.0,,0.0,,0.0,,0.6931471824645996,,0.057174794375896454,,0.7503219842910767,
27,27,,0.0,,0.0,,0.0,,0.6931471824645996,,0.29509255290031433,,0.9882397651672363
27,27,0.0,,0.0,,0.0,,0.6931471824645996,,0.29509255290031433,,0.9882397651672363,
28,28,,0.0,,0.0,,0.0,,0.6931471824645996,,0.18012216687202454,,0.8732693195343018
28,28,0.0,,0.0,,0.0,,0.6931471824645996,,0.18012216687202454,,0.8732693195343018,
29,29,,0.0,,0.0,,0.0,,0.6931471824645996,,0.3778002858161926,,1.0709474086761475
29,29,0.0,,0.0,,0.0,,0.6931471824645996,,0.3778002858161926,,1.0709474086761475,
30,30,,0.0,,0.0,,0.0,,0.6931471824645996,,0.3884347379207611,,1.081581950187683
30,30,0.0,,0.0,,0.0,,0.6931471824645996,,0.3884347379207611,,1.081581950187683,
