epoch,step,train/loss_box_reg_epoch,train/loss_box_reg_step,train/loss_classifier_epoch,train/loss_classifier_step,train/loss_mask_epoch,train/loss_mask_step,train/loss_objectness_epoch,train/loss_objectness_step,train/loss_rpn_box_reg_epoch,train/loss_rpn_box_reg_step,train/total_loss_epoch,train/total_loss_step
0,0,,-0.0,,0.7068777680397034,,-0.0,,0.68227219581604,,0.0,,1.3891499042510986
0,0,0.0,,0.7068777680397034,,0.0,,0.68227219581604,,0.0,,1.3891499042510986,
1,1,,-0.0,,0.706821858882904,,-0.0,,0.6780644655227661,,0.0,,1.3848862648010254
1,1,0.0,,0.706821858882904,,0.0,,0.6780644655227661,,0.0,,1.3848862648010254,
2,2,,-0.0,,0.7066732048988342,,-0.0,,0.6853511929512024,,0.0,,1.3920243978500366
2,2,0.0,,0.7066732048988342,,0.0,,0.6853511929512024,,0.0,,1.3920243978500366,
3,3,,-0.0,,0.7064931988716125,,-0.0,,0.6563436985015869,,0.0,,1.3628368377685547
3,3,0.0,,0.7064931988716125,,0.0,,0.6563436985015869,,0.0,,1.3628368377685547,
4,4,,-0.0,,0.7062547206878662,,-0.0,,0.6712506413459778,,0.0,,1.3775053024291992
4,4,0.0,,0.7062547206878662,,0.0,,0.6712506413459778,,0.0,,1.3775053024291992,
5,5,,-0.0,,0.7059932947158813,,-0.0,,0.6818729043006897,,0.0,,1.3878662586212158
5,5,0.0,,0.7059932947158813,,0.0,,0.6818729043006897,,0.0,,1.3878662586212158,
6,6,,-0.0,,0.7056609988212585,,-0.0,,0.6799888610839844,,0.0,,1.3856499195098877
6,6,0.0,,0.7056609988212585,,0.0,,0.6799888610839844,,0.0,,1.3856499195098877,
7,7,,-0.0,,0.7052940726280212,,-0.0,,0.673626720905304,,0.0,,1.3789207935333252
7,7,0.0,,0.7052940726280212,,0.0,,0.673626720905304,,0.0,,1.3789207935333252,
8,8,,-0.0,,0.7048597931861877,,-0.0,,0.6667141318321228,,0.0,,1.3715739250183105
8,8,0.0,,0.7048597931861877,,0.0,,0.6667141318321228,,0.0,,1.3715739250183105,
9,9,,-0.0,,0.7048377990722656,,-0.0,,0.6746437549591064,,0.0,,1.379481554031372
9,9,0.0,,0.7048377990722656,,0.0,,0.6746437549591064,,0.0,,1.379481554031372,
10,10,,-0.0,,0.7048494815826416,,-0.0,,0.6789332628250122,,0.0,,1.3837827444076538
10,10,0.0,,0.7048494815826416,,0.0,,0.6789332628250122,,0.0,,1.3837827444076538,
11,11,,-0.0,,0.7047224044799805,,-0.0,,0.6744834780693054,,0.0,,1.3792059421539307
11,11,0.0,,0.7047224044799805,,0.0,,0.6744834780693054,,0.0,,1.3792059421539307,
12,12,,-0.0,,0.7047333121299744,,-0.0,,0.6653698086738586,,0.0,,1.370103120803833
12,12,0.0,,0.7047333121299744,,0.0,,0.6653698086738586,,0.0,,1.370103120803833,
13,13,,-0.0,,0.7046701908111572,,-0.0,,0.6771238446235657,,0.0,,1.3817939758300781
13,13,0.0,,0.7046701908111572,,0.0,,0.6771238446235657,,0.0,,1.3817939758300781,
14,14,,-0.0,,0.7046149969100952,,-0.0,,0.6778483390808105,,0.0,,1.3824633359909058
14,14,0.0,,0.7046149969100952,,0.0,,0.6778483390808105,,0.0,,1.3824633359909058,
15,15,,-0.0,,0.7045696377754211,,-0.0,,0.6752358078956604,,0.0,,1.3798054456710815
15,15,0.0,,0.7045696377754211,,0.0,,0.6752358078956604,,0.0,,1.3798054456710815,
16,16,,-0.0,,0.704495906829834,,-0.0,,0.6774730682373047,,0.0,,1.3819689750671387
16,16,0.0,,0.704495906829834,,0.0,,0.6774730682373047,,0.0,,1.3819689750671387,
17,17,,-0.0,,0.704509437084198,,-0.0,,0.6776620149612427,,0.0,,1.382171392440796
17,17,0.0,,0.704509437084198,,0.0,,0.6776620149612427,,0.0,,1.382171392440796,
18,18,,-0.0,,0.7044985294342041,,-0.0,,0.6568969488143921,,0.0,,1.3613954782485962
18,18,0.0,,0.7044985294342041,,0.0,,0.6568969488143921,,0.0,,1.3613954782485962,
19,19,,-0.0,,0.7045150399208069,,-0.0,,0.6807065010070801,,0.0,,1.3852214813232422
19,19,0.0,,0.7045150399208069,,0.0,,0.6807065010070801,,0.0,,1.3852214813232422,
