epoch,step,train_box_loss_epoch,train_box_loss_step,train_center_loss_epoch,train_center_loss_step,train_instance_cls_loss_epoch,train_instance_cls_loss_step,train_mask_loss_epoch,train_mask_loss_step,train_semantic_loss_epoch,train_semantic_loss_step,train_total_loss_epoch,train_total_loss_step
0,0,,1.0,,0.7055526971817017,,0.6943681240081787,,0.0,,0.6488720178604126,,0.8888640999794006
0,0,1.0,,0.7055526971817017,,0.6943681240081787,,0.0,,0.6488720178604126,,0.8888640999794006,
1,1,,1.0,,0.5976695418357849,,0.694970965385437,,0.0,,0.44257020950317383,,0.6718342900276184
1,1,1.0,,0.5976695418357849,,0.694970965385437,,0.0,,0.44257020950317383,,0.6718342900276184,
2,2,,1.0,,0.3831849992275238,,0.6925044059753418,,0.0,,0.352460652589798,,0.5600295662879944
2,2,1.0,,0.3831849992275238,,0.6925044059753418,,0.0,,0.352460652589798,,0.5600295662879944,
3,3,,1.0,,0.23013968765735626,,0.6951192021369934,,0.0,,0.3817954957485199,,0.5743213891983032
3,3,1.0,,0.23013968765735626,,0.6951192021369934,,0.0,,0.3817954957485199,,0.5743213891983032,
4,4,,1.0,,0.1468052864074707,,0.6931527853012085,,0.0,,0.25376152992248535,,0.43775734305381775
4,4,1.0,,0.1468052864074707,,0.6931527853012085,,0.0,,0.25376152992248535,,0.43775734305381775,
5,5,,1.0,,0.06565053761005402,,0.6944119930267334,,0.0,,1.0051813125610352,,1.181187629699707
5,5,1.0,,0.06565053761005402,,0.6944119930267334,,0.0,,1.0051813125610352,,1.181187629699707,
6,6,,1.0,,0.054063212126493454,,0.6925898194313049,,0.0,,0.2777886688709259,,0.45245397090911865
6,6,1.0,,0.054063212126493454,,0.6925898194313049,,0.0,,0.2777886688709259,,0.45245397090911865,
7,7,,1.0,,0.032100897282361984,,0.6931489109992981,,0.0,,0.2739301323890686,,0.44645512104034424
7,7,1.0,,0.032100897282361984,,0.6931489109992981,,0.0,,0.2739301323890686,,0.44645512104034424,
8,8,,1.0,,0.027040163055062294,,0.6928405165672302,,0.0,,0.3992733955383301,,0.5712615251541138
8,8,1.0,,0.027040163055062294,,0.6928405165672302,,0.0,,0.3992733955383301,,0.5712615251541138,
9,9,,1.0,,0.027512745931744576,,0.6926085352897644,,0.0,,0.2794312834739685,,0.4514434039592743
9,9,1.0,,0.027512745931744576,,0.6926085352897644,,0.0,,0.2794312834739685,,0.4514434039592743,
10,10,,1.0,,0.031943757086992264,,0.6931480169296265,,0.0,,0.29942643642425537,,0.47193560004234314
10,10,1.0,,0.031943757086992264,,0.6931480169296265,,0.0,,0.29942643642425537,,0.47193560004234314,
11,11,,1.0,,0.04293808713555336,,0.6939047574996948,,0.0,,0.33559650182724,,0.509280800819397
11,11,1.0,,0.04293808713555336,,0.6939047574996948,,0.0,,0.33559650182724,,0.509280800819397,
12,12,,1.0,,0.03323044255375862,,0.6935045719146729,,0.0,,0.32212239503860474,,0.49479588866233826
12,12,1.0,,0.03323044255375862,,0.6935045719146729,,0.0,,0.32212239503860474,,0.49479588866233826,
13,13,,1.0,,0.03543352335691452,,0.6931477189064026,,0.0,,0.4079640507698059,,0.5808221697807312
13,13,1.0,,0.03543352335691452,,0.6931477189064026,,0.0,,0.4079640507698059,,0.5808221697807312,
14,14,,1.0,,0.031125476583838463,,0.6936964988708496,,0.0,,0.36238542199134827,,0.5348676443099976
14,14,1.0,,0.031125476583838463,,0.6936964988708496,,0.0,,0.36238542199134827,,0.5348676443099976,
15,15,,1.0,,0.02792120724916458,,0.6931760311126709,,0.0,,0.3674415946006775,,0.539551317691803
15,15,1.0,,0.02792120724916458,,0.6931760311126709,,0.0,,0.3674415946006775,,0.539551317691803,
16,16,,1.0,,0.024333428591489792,,0.6931568384170532,,0.0,,0.2527857720851898,,0.42453479766845703
16,16,1.0,,0.024333428591489792,,0.6931568384170532,,0.0,,0.2527857720851898,,0.42453479766845703,
17,17,,1.0,,0.024725353345274925,,0.6930435299873352,,0.0,,0.36137235164642334,,0.533149242401123
